title,url,thumbnail_url,channel,description
"Ten years ago, I predicted 2022. Did I get it right?",https://www.youtube.com/watch?v=NYj3DnI81AQ,https://i.ytimg.com/vi/NYj3DnI81AQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCuiBNDAfKzLt2gax-jbdpn0SkT8Q,Tom Scott,"Predicting the future is a fool's errand, but I tried it: talking about phones, lifelogging, and social changes. And on top of that: what do I think's coming in 2032? ■ Full original talk:..."
Da Vinci Code: Last Week Tonight with John Oliver (Web Exclusive),https://www.youtube.com/watch?v=xX5IV9n223M,https://i.ytimg.com/vi/xX5IV9n223M/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDURPHxr_gbh0nqWl3k0kii_5uLqA,LastWeekTonight,"John Oliver discusses The Da Vinci Code: the book, the film, and, for some reason, the cultural phenomenon. Connect with Last Week Tonight online... Subscribe to the Last Week Tonight YouTube..."
WARM UP // Episode 4 Cinematic - VALORANT,https://www.youtube.com/watch?v=OyLHi34Qzv4,https://i.ytimg.com/vi/OyLHi34Qzv4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDp1ZpNXeZjqzEdmnsYrtHiVBZczg,VALORANT,Downtime works a little differently when you’re at VALORANT HQ. Take a peek inside the training room and join us as we warm up for Episode 4: Disruption. Created in partnership with Blur...
Bel-Air | Official Trailer,https://www.youtube.com/watch?v=rQ1uG91Bbls,,Will Smith,"3 years ago, my guy Morgan Cooper uploaded his fan trailer to YouTube, showing how he envisioned the Fresh Prince as a drama. Now, here is the first full look at his retelling of the story..."
Why are Americans choosing to quit their jobs in record numbers?,https://www.youtube.com/watch?v=brw-jN9b-Sg,,60 Minutes, The United States is seeing its highest “quit rate” since the government started keeping track two decades ago. Bill Whitaker speaks with employers who are scrambling to find help and...
Pokémon Legends: Arceus - A World of Adventure Awaits in Hisui - Nintendo Switch,https://www.youtube.com/watch?v=ruORJogFcOY,,Nintendo,"Get ready for a new kind of grand, Pokémon adventure in Pokémon™ Legends: Arceus, a brand-new game from Game Freak that blends action and exploration with the RPG roots of the Pokémon..."
Minecraft's Funniest YouTuber Hunger Games...,https://www.youtube.com/watch?v=OCSfKNhe-FU,,TommyInnit,"Today TommyInnit, Wilbur Soot, Ant Venom & more take part in Minecraft's Largest YouTuber Hunger Games! This was insane! Leave a like if you want more of these videos! Socials: Follow my..."
jackass forever | Final Trailer (2022 Movie),https://www.youtube.com/watch?v=p74bzf-beGc,,Paramount Pictures,the wait is over. it's finally time to grab your friends and laugh your asses off. watch the final trailer for #jackassforever - only in theatres february 4. Celebrating the joy of being back...
Invisible Glass Science Experiment,https://www.youtube.com/shorts/Lzjg3iU6EPQ,,DrewHacks,#shorts More DrewHacks: http://andrew.tv
ENHYPEN (엔하이픈) 'Blessed-Cursed' Official MV,https://www.youtube.com/watch?v=osmHArcf_aE,,HYBE LABELS,"ENHYPEN (엔하이픈) 'Blessed-Cursed' Official MV Credits: Director: Yong Seok Choi (Lumpens) Co-Director & Edit: Jihye Yoon (Lumpens) AD: Ran Ro (Lumpens) PA: Yebin Ko, Sung Yong Kim Director..."
NBA YoungBoy - Foolish Figure,https://www.youtube.com/watch?v=ERZJm1Bv6d8,,YoungBoy Never Broke Again,I say what I want I go where I want fuck these niggas I ain’t gone say too much love y’all
I Started A Drink Company With KSI,https://www.youtube.com/watch?v=hmXTBjM0is4,,Logan Paul,"After years of heated rivalry, we’re humbled & honored to bring you Prime Hydration. Follow @DrinkPrime on Instagram ► https://www.instagram.com/drinkprime/ SUBSCRIBE FOR DAILY VLOGS! ►..."
OMG What is he doing? 😱 #shorts Best video by GuzNurik,https://www.youtube.com/shorts/OO3e6j1UELM,,GuzNurik,Thank you for watching For Short Funny videos with Guzaliya and Ilnur Follow us on https://vm.tiktok.com/ZSJxtVfrv/ #shorts #GuzNurik #youtubeshorts
Roma vs. Juventus: Extended Highlights | Serie A | CBS Sports Golazo,https://www.youtube.com/watch?v=0USvpVKMU6Q,,CBS Sports Golazo,Two of the giants of Italian soccer square off as Jose Mourinho’s Roma faces Allegri’s Juventus in a classic battle for European qualification. Stream Serie A and more Italian club soccer...
Power Book IV: Force | Official Trailer | STARZ,https://www.youtube.com/watch?v=Ivdy4VzQY_U,,STARZ,"This is his town now. Tommy's taking Chicago by storm in #PowerForce, premiering February 6 on @STARZ. #PowerNeverEnds #PowerTV Subscribe to the STARZ YouTube Channel for more Power: http://bit.l..."
Attack on Titan The Final Season Part 2 Opening｜The Rumbling - SiM,https://www.youtube.com/watch?v=2S4qGKmzBJE,,ぽにきゃん-Anime PONY CANYON,Attack on Titan Final Season Part 2 Confirmed to Air from January 9th (JST) 🎶Opening Theme SiM 「The Rumbling」 Words: MAH Music & Arrangement: SiM 🎧TV size Streaming https://lnk.to/theru...
JJ Redick Reacts To Klay Thompson's Return To The Golden State Warriors (YouTube Exclusive),https://www.youtube.com/watch?v=pmTIoKN8Suc,,JJ Redick,"JJ Redick gives a full breakdown of Klay Thompson's return to The Golden State Warriors. There were plenty of highlights to react to but JJ starts by giving his initial thoughts to Klay's game,..."
"CAVALIERS at WARRIORS | FULL GAME HIGHLIGHTS | January 9, 2022",https://www.youtube.com/watch?v=jy1npWIISeU,,NBA,"Stream More Live Games With NBA LEAGUE PASS: https://app.link.nba.com/e/subscribe_now Subscribe to the NBA: https://on.nba.com/2JX5gSN In his first game since June 13th, 2019 (NBA Finals..."
Responding to your questions about our breakup,https://www.youtube.com/watch?v=4Q7wBO3GVvA,,OKbaby,
Raiders Are Playoff Bound! Postgame Pressers - 1.9.22 | Week 18 vs. Chargers | NFL,https://www.youtube.com/watch?v=XRL-wx6kPlQ,,Raiders,"Interim Head Coach Rich Bisaccia, QB Derek Carr, DE Maxx Crosby, WR Hunter Renfrow, K Daniel Carlson and RB Josh Jacobs address the media following the Week 18 victory over the Chargers. Visit..."
THIS WAS SO SCARY IT MADE ME CRY,https://www.youtube.com/watch?v=m7xvUwGUqt0,,jacksepticeye,Well here's a new fear that I never knew I had Twitter : https://twitter.com/Jacksepticeye Instagram : http://instagram.com/jacksepticeye Edited By: https://www.youtube.com/channel/UCHsjBlPYou_k7...
Hotter Than You Gumball Challenge | 2M Scoville,https://www.youtube.com/shorts/yt3_VXpWIwU,,spicyycam_,#short #shorts
